question,answer,cat,sub_cat
What is the difference between Smart MCN & Voicemail service?,,mobilenew,vas
How many message my smart MCN service can take?,"Up to 7 messages. Each one is valid for 7 days only, after that it will be deleted automatically.",mobilenew,vas
Can I have a voice greeting message for the Smart MCN service?,"No, your caller will be hearing a fixed announcement.",mobilenew,vas
Is there any charges for activating or deactivating the service?,,mobilenew,vas
Is there any charges for retrieving the voice-note messages?,"No, it is totally free of charge in case you are retrieving from inside UAE, if you are retrieving the messages from outside UAE roaming charges will be applied.",mobilenew,vas
Is this service free of charge?,"Yes, totally free of charge.",mobilenew,vas
Will local callers also be notified when I’m back on the network?,"No, only the international numbers who called you while you are away will receive the Notify Me SMS.",mobilenew,vas
Can I activate & deactivate the service any time?,"Yes, you can manage the service as you like.",mobilenew,vas
Is there any charges for activating or deactivating the service?,"No, you can activate & deactivate the service at any time for free.",mobilenew,vas
"If I'm outside UAE (Roaming), will my international callers be notified when I’m back on the network?","Yes, the service will continue to work normally and no charges will apply to you.",mobilenew,vas
Can I activate & deactivate the service while roaming?,Yes but the USSD code could be blocked by some of the operators or used for their local services.,mobilenew,vas
What is Etisalat Wallet?,,mobilenew,etisalat_wallet
How to get the wallet on my phone?,,mobilenew,etisalat_wallet
How much the service will cost me?,,mobilenew,etisalat_wallet
How to pay for services in the wallet?,,mobilenew,etisalat_wallet
How to link a card to the wallet then?,,mobilenew,etisalat_wallet
How many cards can I add?,,mobilenew,etisalat_wallet
How much card add will cost me?,,mobilenew,etisalat_wallet
Any specific bank?,,mobilenew,etisalat_wallet
"I can see my card has been charged for AED 1, why is that?",,mobilenew,etisalat_wallet
Is it secured?,,mobilenew,etisalat_wallet
What kind of services available in Etisalat Wallet?  ,,mobilenew,etisalat_wallet
How will I be charged for subscribing to this pack?,"When you subscribe to this pack, charging will apply upon 1st usage in eligible countries (not upon subscription).",mobilenew,mobile_roaming
Where and how will I be able to use the pack?,"See below table as quick guide for your pack usability:,*Preferred country is a destination with at least 1 preferred roaming partner",mobilenew,mobile_roaming
What happens if I call a non-preferred country/destination?,The call will proceed but will be charged as per standard roaming rates. We advise you to be aware of the destination you are calling to avoid extra roaming charges.,mobilenew,mobile_roaming
Can I cancel (or unsubscribe) the pack after purchasing?,"Yes, you can unsubscribe from the daily packs as follows:
,
• Through roaming USSD *177#
,
• Send SMS keywords to 1010 (standard charges apply)
,
  - To cancel Daily Combo Plan, send “C RDC”
,
  - To cancel Daily Data Plan, send “C RDD”
,
• Through My etisalat App
,
• Through our Customer Care by dialing +9718002300 (standard charges apply).",mobilenew,mobile_roaming
Can I purchase more than one pack or different types? What is the priority?,"Yes, you can simultaneously purchase roaming packages whether similar packs or different packs.
,
However, allowances and validity periods are not cumulative. Usage priority shall be on the higher value.,Example: Daily Combo Pack + Weekly Combo Pack
,
  • When you start a valid roaming usage (whether voice or data), it is consumed first from the Weekly Combo Pack.
,
  • Once data is fully-consumed (but pack is still valid with voice allowances), succeeding data usage will activate the Daily Combo Pack.
,
  • When you make valid outgoing calls or receive incoming calls, it will consume from the Weekly Combo Pack.",mobilenew,mobile_roaming
Will Roaming Callback usages be part of this voice pack allowance?,No. Roaming callback usages will be charged separately as per its standard rate.,mobilenew,mobile_roaming
How many data units will I get for my package allowance?,"etisalat follows uniform data allowance configuration across its packages, and your data units will be based on the below conversion:
,
1 GB = 1,000 MB; 1 MB = 1,000 KB; 1 KB = 1,024 Bytes",mobilenew,mobile_roaming
"How my data units will be consumed for package, and pay-as-you-go usage?","When consuming data from a roaming data package, or at a pay-as-you-go rate your allowance will be deducted on the basis of 30 KB increments. Only in Lebanon, your pay-as-you-go roaming data usage without any package, will be rated on a 10 KB pulse.",mobilenew,mobile_roaming
How will I be charged for subscribing to this pack?,"When you subscribe to this pack, charging will be applied immediately but validity starts upon 1st applicable usage in eligible countries (not upon purchase).",mobilenew,mobile_roaming
What is 2G to 3G Device Trade-Up Program?,"2G to 3G Trade-Up Program is an offer for Etisalat customers where they can trade in their old 2G/3G devices in working condition to get upfront discount on purchase of new BE phones with 6 months free 100 MB/month data plan offer. This offer would be available from selected Etisalat Business centers/outlets, selected key retail locations and independent retailers. This offer would be applicable only against purchase of a new BE phone from Etisalat. Customers can get a brand new Android based BE smart phone at AED. 299/- by giving away their old working mobile phone.",mobilenew,mobile_modems
Which old mobile phones are acceptable?,Any mobile phone in working condition. The device should be able to turn on and off.,mobilenew,mobile_modems
